date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-07-12,10.27,10.58,10.34,10.2,2998844.25,0.09,0.88,9.81,9.598,9.402,1934205.66,1210389.83,923224.23,1.77
2017-07-11,9.61,10.46,10.25,9.61,3812086.75,0.66,6.88,9.616,9.507,9.339,1447980.81,1027385.03,792054.23,2.25
2017-07-10,9.45,9.66,9.59,9.44,1360815.88,0.12,1.27,9.434,9.418,9.282,783235.97,700777.96,623871.64,0.8
2017-07-07,9.37,9.48,9.47,9.34,760369.62,0.07,0.74,9.396,9.389,9.258,588742.67,635773.37,581059.76,0.45
2017-07-06,9.36,9.41,9.4,9.31,738911.81,0.03,0.32,9.38,9.367,9.242,536595.44,618136.84,577314.68,0.44
2017-07-05,9.29,9.38,9.37,9.27,567720.0,0.03,0.32,9.386,9.352,9.229,486573.99,686941.48,559519.31,0.34
2017-07-04,9.4,9.41,9.34,9.3,488362.53,-0.06,-0.64,9.398,9.33,9.217,606789.24,679862.69,563419.47,0.29
2017-07-03,9.4,9.43,9.4,9.34,388349.38,0.01,0.11,9.402,9.308,9.202,618319.96,662388.0,556768.42,0.23
2017-06-30,9.4,9.43,9.39,9.31,499633.47,-0.04,-0.42,9.382,9.281,9.183,682804.07,672523.54,569057.59,0.3
2017-06-29,9.43,9.45,9.43,9.37,488804.56,0.0,0.0,9.354,9.244,9.172,699678.25,651159.3,582613.77,0.29
2017-06-28,9.35,9.49,9.43,9.33,1168796.25,0.07,0.75,9.318,9.205,9.16,887308.96,636058.63,586482.68,0.69
2017-06-27,9.3,9.39,9.36,9.27,546016.12,0.06,0.65,9.262,9.17,9.149,752936.15,556723.44,579703.41,0.32
2017-06-26,9.26,9.4,9.3,9.26,710769.94,0.05,0.54,9.214,9.146,9.136,706456.04,546965.32,552403.21,0.42
2017-06-23,9.23,9.27,9.25,9.16,584004.38,0.0,0.0,9.18,9.127,9.126,662243.02,526346.14,561633.0,0.35
2017-06-22,9.15,9.4,9.25,9.14,1426958.12,0.1,1.09,9.134,9.117,9.119,602640.35,536492.51,613509.96,0.84
2017-06-21,9.17,9.18,9.15,9.11,496932.19,0.03,0.33,9.092,9.105,9.097,384808.3,432097.15,568780.89,0.29
2017-06-20,9.12,9.16,9.12,9.09,313615.59,-0.01,-0.11,9.078,9.103,9.079,360510.72,446976.25,583936.29,0.19
2017-06-19,9.03,9.15,9.13,9.02,489704.81,0.11,1.22,9.078,9.095,9.057,387474.6,451148.85,602211.51,0.29
2017-06-16,9.04,9.08,9.02,9.01,285991.03,-0.02,-0.22,9.074,9.085,9.035,390449.27,465591.63,592439.81,0.17
2017-06-15,9.08,9.08,9.04,9.03,337797.88,-0.04,-0.44,9.1,9.1,9.02,470344.68,514068.24,589510.32,0.2
2017-06-14,9.12,9.13,9.08,9.04,375444.31,-0.04,-0.44,9.118,9.115,9.007,479385.99,536906.73,593487.32,0.22
2017-06-13,9.11,9.14,9.12,9.05,448434.97,0.01,0.11,9.128,9.127,8.995,533441.78,602683.39,600958.72,0.27
2017-06-12,9.15,9.19,9.11,9.1,504578.16,-0.04,-0.44,9.112,9.126,8.982,514823.09,557841.09,605365.88,0.3
2017-06-09,9.15,9.22,9.15,9.12,685468.06,0.02,0.22,9.096,9.125,8.971,540734.0,596919.85,626035.39,0.41
2017-06-08,9.11,9.15,9.13,9.08,383004.47,0.0,0.0,9.1,9.12,8.949,557791.8,690527.41,616944.16,0.23
2017-06-07,9.02,9.15,9.13,9.01,645723.25,0.09,1.0,9.112,9.088,8.926,594427.46,705464.63,626447.82,0.38
2017-06-06,9.01,9.06,9.04,8.99,355341.53,0.01,0.11,9.126,9.054,8.901,671924.99,720896.32,610371.38,0.21
2017-06-05,9.13,9.17,9.03,8.99,634132.69,-0.14,-1.53,9.14,9.018,8.878,600859.09,753274.18,615608.8,0.37
2017-06-02,9.18,9.29,9.17,9.14,770757.06,-0.02,-0.22,9.154,8.984,8.858,653105.7,719287.99,615087.21,0.46
2017-06-01,9.2,9.23,9.19,9.12,566182.75,-0.01,-0.11,9.14,8.94,8.836,823263.01,664952.4,611375.21,0.33
2017-05-31,9.1,9.23,9.2,9.06,1033210.94,0.1,1.1,9.064,8.898,8.822,816501.8,650067.92,597081.61,0.61
2017-05-30,9.11,9.11,9.11,9.11,12.0,0.01,0.11,8.982,8.862,8.809,769867.65,599234.06,560972.36,0.0
2017-05-26,9.08,9.13,9.1,9.04,895365.75,0.0,0.0,8.896,8.837,8.803,905689.26,652890.68,575294.08,0.53
2017-05-25,8.79,9.14,9.1,8.78,1621543.62,0.29,3.29,8.814,8.817,8.797,785470.28,655150.92,549895.42,0.96
2017-05-24,8.78,8.83,8.81,8.68,532376.69,0.02,0.23,8.74,8.777,8.791,506641.78,543360.91,487925.59,0.31
2017-05-23,8.67,8.84,8.79,8.64,800040.19,0.11,1.27,8.732,8.763,8.801,483634.04,547431.02,480203.43,0.47
2017-05-22,8.68,8.73,8.68,8.61,679120.06,-0.01,-0.12,8.742,8.748,8.808,428600.47,499846.44,459951.18,0.4
2017-05-19,8.74,8.76,8.69,8.68,294270.84,-0.04,-0.46,8.778,8.737,8.822,400092.09,477943.43,442265.59,0.17
2017-05-18,8.72,8.77,8.73,8.71,227401.12,-0.04,-0.46,8.82,8.731,8.834,524831.56,510886.42,449433.55,0.13
2017-05-17,8.81,8.81,8.77,8.75,417338.0,-0.07,-0.79,8.814,8.732,8.843,580080.05,557798.02,478046.92,0.25
2017-05-16,8.84,8.85,8.84,8.73,524872.31,-0.02,-0.23,8.794,8.746,8.857,611227.99,544095.29,473948.87,0.31
2017-05-15,8.89,8.95,8.86,8.81,536578.19,-0.04,-0.45,8.754,8.756,8.87,571092.42,522710.67,474299.86,0.32
2017-05-12,8.68,8.9,8.9,8.64,917968.19,0.2,2.3,8.696,8.769,8.881,555794.76,497697.49,471995.97,0.54
2017-05-11,8.65,8.72,8.7,8.6,503643.56,0.03,0.35,8.642,8.776,8.892,496941.28,444639.93,443969.69,0.3
2017-05-10,8.63,8.8,8.67,8.62,573077.69,0.03,0.35,8.65,8.805,8.913,535515.98,432490.27,441554.34,0.34
2017-05-09,8.56,8.64,8.64,8.55,324194.47,0.07,0.82,8.698,8.838,8.937,476962.59,412975.84,443522.35,0.19
2017-05-08,8.6,8.62,8.57,8.54,460089.88,-0.06,-0.69,8.758,8.867,8.964,474328.92,420055.92,447379.83,0.27
2017-05-05,8.74,8.76,8.63,8.58,623700.81,-0.11,-1.26,8.842,8.907,8.995,439600.22,406587.75,450117.57,0.37
2017-05-04,8.89,8.89,8.74,8.72,696517.06,-0.17,-1.91,8.91,8.936,9.024,392338.57,387980.67,440652.1,0.41
2017-05-03,8.92,8.93,8.91,8.89,280310.75,-0.03,-0.34,8.96,8.953,9.047,329464.56,398295.82,430783.75,0.17
2017-05-02,8.96,8.96,8.94,8.9,311026.09,-0.05,-0.56,8.978,8.967,9.06,348989.09,403802.44,448424.28,0.18
2017-04-28,8.96,8.99,8.99,8.92,286446.38,0.02,0.22,8.976,8.983,9.067,365782.93,425889.05,467237.25,0.17
2017-04-27,8.97,8.98,8.97,8.91,387392.56,-0.02,-0.22,8.972,8.992,9.073,373575.28,446294.46,482971.96,0.23
2017-04-26,9.0,9.01,8.99,8.96,382147.03,-0.01,-0.11,8.962,9.007,9.081,383622.77,443299.46,487670.97,0.23
2017-04-25,8.93,9.01,9.0,8.93,377933.38,0.07,0.78,8.946,9.02,9.088,467127.08,450618.41,517814.22,0.22
2017-04-24,8.97,8.98,8.93,8.89,394995.28,-0.04,-0.45,8.956,9.035,9.098,458615.79,474068.87,534458.94,0.23
2017-04-21,8.92,8.99,8.97,8.9,325408.16,0.05,0.56,8.99,9.06,9.111,485995.18,474703.73,536388.59,0.19
2017-04-20,8.9,8.94,8.92,8.89,437630.0,0.01,0.11,9.012,9.083,9.121,519013.64,493647.39,548424.37,0.26
2017-04-19,9.03,9.04,8.91,8.9,799668.56,-0.14,-1.55,9.052,9.111,9.137,502976.15,493323.54,554275.3,0.47
2017-04-18,9.09,9.1,9.05,9.05,335376.97,-0.05,-0.55,9.094,9.141,9.154,434109.74,463271.69,550042.96,0.2
2017-04-17,9.08,9.11,9.1,9.05,531892.19,0.02,0.22,9.114,9.153,9.167,489521.94,493046.11,612456.47,0.31
2017-04-14,9.11,9.12,9.08,9.06,490500.47,-0.04,-0.44,9.13,9.151,9.188,463412.28,508585.44,617659.55,0.29
2017-04-13,9.11,9.14,9.12,9.1,357442.56,0.0,0.0,9.154,9.154,9.208,468281.14,519649.46,620462.57,0.21
2017-04-12,9.16,9.17,9.12,9.1,455336.53,-0.03,-0.33,9.17,9.154,9.224,483670.92,532042.48,622814.66,0.27
2017-04-11,9.17,9.19,9.15,9.09,612437.94,-0.03,-0.33,9.188,9.156,9.24,492433.63,585010.03,627313.05,0.36
2017-04-10,9.2,9.21,9.18,9.17,401343.91,-0.02,-0.22,9.192,9.16,9.252,496570.28,594849.02,616200.27,0.24
2017-04-07,9.19,9.22,9.2,9.17,514844.75,0.0,0.0,9.172,9.162,9.262,553758.6,598073.46,615041.57,0.3
2017-04-06,9.2,9.22,9.2,9.17,434391.47,-0.01,-0.11,9.154,9.158,9.273,571017.79,603201.35,601521.25,0.26
2017-04-05,9.16,9.22,9.21,9.15,499150.09,0.04,0.44,9.138,9.162,9.286,580414.04,615227.07,594535.32,0.3
2017-03-31,9.08,9.18,9.17,9.08,633121.19,0.09,0.99,9.124,9.166,9.298,677586.44,636814.24,589803.38,0.37
2017-03-30,9.12,9.12,9.08,9.06,687285.5,-0.03,-0.33,9.128,9.18,9.309,693127.76,731866.82,575280.08,0.41
2017-03-29,9.13,9.15,9.11,9.09,601140.69,-0.01,-0.11,9.152,9.224,9.327,642388.32,726733.65,561097.24,0.36
2017-03-28,9.16,9.17,9.12,9.1,481372.75,-0.02,-0.22,9.162,9.261,9.346,635384.9,721275.67,548389.89,0.28
2017-03-27,9.12,9.19,9.14,9.08,985012.06,-0.05,-0.54,9.186,9.293,9.364,650040.1,713586.83,542807.24,0.58
2017-03-24,9.2,9.24,9.19,9.16,710827.81,-0.01,-0.11,9.208,9.323,9.378,596042.04,669616.07,513923.69,0.42
2017-03-23,9.16,9.24,9.2,9.15,433588.28,0.04,0.44,9.232,9.344,9.394,770605.88,637551.52,495007.31,0.26
2017-03-22,9.2,9.22,9.16,9.14,566123.62,-0.08,-0.87,9.296,9.362,9.409,811078.99,632009.68,490094.28,0.33
2017-03-21,9.25,9.26,9.24,9.2,554648.75,-0.01,-0.11,9.36,9.388,9.43,807166.44,599841.16,484936.41,0.33
2017-03-20,9.29,9.31,9.25,9.22,715021.75,-0.06,-0.64,9.4,9.409,9.446,777133.56,573843.56,489533.18,0.42
2017-03-17,9.45,9.46,9.31,9.3,1583647.0,-0.21,-2.21,9.438,9.429,9.462,743190.1,542792.53,498719.86,0.94
2017-03-16,9.48,9.53,9.52,9.45,635953.81,0.04,0.42,9.456,9.438,9.466,504497.15,418693.34,440726.26,0.38
2017-03-15,9.42,9.48,9.48,9.42,546560.88,0.04,0.42,9.428,9.429,9.463,452940.37,395460.83,429486.63,0.32
2017-03-14,9.43,9.46,9.44,9.41,404484.38,0.0,0.0,9.416,9.43,9.461,392515.88,375504.11,439989.23,0.24
2017-03-13,9.39,9.45,9.44,9.37,545304.44,0.04,0.43,9.418,9.434,9.459,370553.56,372027.64,437885.24,0.32
2017-03-10,9.38,9.41,9.4,9.36,390182.25,0.02,0.21,9.42,9.433,9.458,342394.95,358231.31,442538.26,0.23
2017-03-09,9.41,9.43,9.38,9.36,378169.91,-0.04,-0.42,9.42,9.443,9.454,332889.52,352463.1,447166.31,0.22
2017-03-08,9.43,9.45,9.42,9.4,244438.41,-0.03,-0.32,9.43,9.456,9.451,337981.28,348178.89,445400.57,0.14
2017-03-07,9.44,9.46,9.45,9.4,294672.81,0.0,0.0,9.444,9.471,9.445,358492.34,370031.66,451192.27,0.17
2017-03-06,9.4,9.46,9.45,9.39,404511.38,0.05,0.53,9.45,9.483,9.437,373501.72,405222.8,456302.88,0.24
2017-03-03,9.41,9.43,9.4,9.36,342655.09,-0.03,-0.32,9.446,9.494,9.43,374067.67,454647.2,461916.62,0.2
2017-03-02,9.51,9.54,9.43,9.42,403628.72,-0.06,-0.63,9.466,9.493,9.423,372036.67,462759.18,460557.47,0.24
2017-03-01,9.49,9.55,9.49,9.47,346993.72,0.01,0.1,9.482,9.496,9.465,358376.49,463512.42,441343.29,0.21
2017-02-28,9.43,9.51,9.48,9.42,369719.69,0.05,0.53,9.498,9.492,9.457,381570.97,504474.36,445029.23,0.22
2017-02-27,9.5,9.5,9.43,9.42,407341.12,-0.07,-0.74,9.516,9.484,9.446,436943.87,503742.85,441763.34,0.24
2017-02-24,9.5,9.54,9.5,9.48,332500.12,-0.01,-0.1,9.542,9.482,9.438,535226.72,526845.21,444908.49,0.2
2017-02-23,9.55,9.57,9.51,9.48,335327.81,-0.06,-0.63,9.52,9.465,9.424,553481.69,541869.52,449298.45,0.2
2017-02-22,9.57,9.57,9.57,9.5,462966.12,0.0,0.0,9.51,9.445,9.409,568648.36,542622.26,452198.49,0.27
2017-02-21,9.55,9.62,9.57,9.54,646584.19,0.01,0.1,9.486,9.418,9.39,627377.74,532352.88,450935.83,0.38
2017-02-20,9.4,9.58,9.56,9.4,898755.38,0.17,1.81,9.452,9.391,9.37,570541.82,507382.96,447320.09,0.53
2017-02-17,9.46,9.49,9.39,9.37,423774.97,-0.07,-0.74,9.422,9.366,9.349,518463.7,469186.04,429659.94,0.25
2017-02-16,9.45,9.5,9.46,9.42,411161.12,0.01,0.11,9.41,9.353,9.337,530257.35,458355.76,442629.48,0.24
2017-02-15,9.4,9.54,9.45,9.39,756613.06,0.05,0.53,9.38,9.433,9.322,516596.15,419174.15,443786.49,0.45
2017-02-14,9.41,9.42,9.4,9.37,362404.59,-0.01,-0.11,9.35,9.421,9.307,437328.02,385584.1,427356.18,0.21
2017-02-13,9.34,9.44,9.41,9.33,638364.75,0.08,0.86,9.33,9.407,9.294,444224.1,379783.84,424407.49,0.38
2017-02-10,9.32,9.36,9.33,9.31,482743.25,0.02,0.21,9.31,9.393,9.281,419908.37,362971.77,404541.95,0.29
2017-02-09,9.3,9.33,9.31,9.28,342855.12,0.01,0.11,9.296,9.382,9.272,386454.17,356727.38,398458.87,0.2
2017-02-08,9.29,9.3,9.3,9.24,360272.41,0.0,0.0,9.486,9.373,9.263,321752.15,361774.72,399223.82,0.21
2017-02-07,9.31,9.32,9.3,9.27,396884.97,-0.01,-0.11,9.492,9.361,9.256,333840.18,369518.77,398428.85,0.23
2017-02-06,9.26,9.32,9.31,9.26,516786.12,0.05,0.54,9.484,9.348,9.249,315343.58,387257.21,401051.07,0.31
2017-02-03,9.34,9.36,9.26,9.23,315472.25,-0.07,-0.75,9.476,9.332,9.242,306035.17,390133.84,398203.79,0.19
2017-02-02,9.45,10.26,10.26,9.33,19345.0,0.93,9.97,9.468,9.32,9.234,327000.59,426903.19,397560.55,0.01
2017-01-26,9.27,9.34,9.33,9.26,420712.56,0.07,0.76,9.26,9.21,9.175,401797.3,468398.83,413531.22,0.25
2017-01-25,9.27,9.28,9.26,9.25,304401.97,-0.01,-0.11,9.23,9.192,9.161,405197.36,469128.25,409298.35,0.18
2017-01-24,9.23,9.28,9.27,9.2,470244.09,0.05,0.54,9.212,9.18,9.152,459170.84,469031.14,407520.31,0.28
2017-01-23,9.22,9.26,9.22,9.2,420299.31,0.0,0.0,9.188,9.168,9.145,474232.5,446112.13,399111.06,0.25
2017-01-20,9.17,9.23,9.22,9.17,393328.56,0.04,0.44,9.172,9.161,9.138,526805.8,440190.35,397241.7,0.23
2017-01-19,9.15,9.24,9.18,9.15,437712.88,0.01,0.11,9.16,9.152,9.134,535000.37,436672.92,394642.34,0.26
2017-01-18,9.14,9.19,9.17,9.13,574269.38,0.02,0.22,9.154,9.151,9.133,533059.14,427338.92,391252.72,0.34
2017-01-17,9.12,9.16,9.15,9.1,545552.38,0.01,0.11,9.148,9.15,9.13,478891.44,414844.93,394371.17,0.32
2017-01-16,9.15,9.16,9.14,9.07,683165.81,-0.02,-0.22,9.148,9.151,9.132,417991.75,406273.74,391794.08,0.4
2017-01-13,9.14,9.19,9.16,9.12,434301.38,0.01,0.11,9.15,9.147,9.138,353574.9,368217.9,377476.49,0.26
2017-01-12,9.13,9.17,9.15,9.13,428006.75,0.01,0.11,9.144,9.139,9.142,338345.47,358663.62,397142.07,0.25
2017-01-11,9.14,9.17,9.14,9.13,303430.88,-0.01,-0.11,9.148,9.13,9.155,321618.7,349468.45,405627.02,0.18
2017-01-10,9.15,9.16,9.15,9.14,241053.95,0.0,0.0,9.152,9.124,9.169,350798.43,346009.49,422744.05,0.14
2017-01-09,9.13,9.17,9.15,9.11,361081.56,0.02,0.22,9.154,9.121,9.186,394555.73,352109.99,473535.05,0.21
2017-01-06,9.17,9.17,9.13,9.11,358154.19,-0.04,-0.44,9.144,9.114,9.211,382860.9,354293.05,531190.94,0.24
2017-01-05,9.17,9.18,9.17,9.15,344372.91,0.01,0.11,9.134,9.115,9.231,378981.76,352611.75,546855.84,0.24
2017-01-04,9.15,9.18,9.16,9.14,449329.53,0.0,0.0,9.112,9.114,9.246,377318.2,355166.53,554307.43,0.31
2017-01-03,9.11,9.18,9.16,9.09,459840.47,0.06,0.66,9.096,9.109,9.263,341220.54,373897.41,561986.09,0.31
